id,uuid_a,gene_name_a,ncbi_id_b,uuid_b,gene_name_b,protein_name_b,alt_id_b,detection_method,pmid,analytic_throughput,source,curater_comments,meeting_imex_criteria,high_stringency_interactor
3371,O15294,OGT,Homo sapiens (Human),Q8IZP0,ABI1,Abl interactor 1,refseq:NP_001012768|refseq:NP_001012769|refseq:NP_001012770|refseq:NP_001334958|refseq:NP_001334959|refseq:NP_001171596|refseq:NP_001171595|refseq:NP_001171587|refseq:NP_001171593|refseq:NP_001171592|refseq:NP_001171591|refseq:NP_001171590|refseq:NP_001334963|refseq:NP_001334962|refseq:NP_001334961|refseq:NP_001334960|refseq:NP_005461|refseq:NP_001171594,pull down,32994395,High throughput,BioGRID,,,
3372,O15294,OGT,Homo sapiens (Human),Q8NF37,LPCAT1,Lysophosphatidylcholine acyltransferase 1,refseq:NP_079106,pull down,32994395,High throughput,BioGRID,,,
3373,O15294,OGT,Homo sapiens (Human),Q96DF8,ESS2,Splicing factor ESS-2 homolog,refseq:NP_073210,pull down,32994395,High throughput,BioGRID,,,
3374,O15294,OGT,Homo sapiens (Human),Q96KP4,CNDP2,Cytosolic non-specific dipeptidase,refseq:NP_001357177|refseq:NP_001161971|refseq:NP_060705|refseq:NP_001357179|refseq:NP_001357178,pull down,32994395,High throughput,BioGRID,,,
3375,O15294,OGT,Homo sapiens (Human),Q9NUD5,ZCCHC3,Zinc finger CCHC domain-containing protein 3,refseq:NP_149080,pull down,32994395,High throughput,BioGRID,,,
3376,O15294,OGT,Homo sapiens (Human),Q8TBX8,PIP4K2C,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma,refseq:NP_001139732|refseq:NP_079055|refseq:NP_001139731|refseq:NP_001139730,pull down,32994395,High throughput,BioGRID,,,
3377,O15294,OGT,Homo sapiens (Human),Q13492,PICALM,Phosphatidylinositol-binding clathrin assembly protein,refseq:NP_001193875|refseq:NP_001193876|refseq:NP_001008660|refseq:NP_009097,pull down,32994395,High throughput,BioGRID,,,
3378,O15294,OGT,Homo sapiens (Human),Q8TEA1,NSUN6,tRNA (cytosine(72)-C(5))-methyltransferase NSUN6,refseq:NP_001338044|refseq:NP_001338045|refseq:NP_001338046|refseq:NP_001338047|refseq:NP_872349,pull down,32994395,High throughput,BioGRID,,,
3379,O15294,OGT,Homo sapiens (Human),P23246,SFPQ,"Splicing factor, proline- and glutamine-rich",refseq:NP_005057,pull down,32994395,High throughput,BioGRID,,,
3380,O15294,OGT,Homo sapiens (Human),Q96I15,SCLY,Selenocysteine lyase,refseq:NP_057594,pull down,32994395,High throughput,BioGRID,,,
